Uid1	Uid2	P2_MSA_depth	P1_MSA_depth	paired_MSA_depth
P04637	P36791	1165	1662	1
P04637	Q1HVG1	13	1662	0
P04637	Q1HVI8	20	1662	0
P04637	Q77UU1	1288	1662	1
P04733	P06428	631	756	0
P04733	P06429	422	756	0
P04733	P06463	681	756	2
P04733	P06788	244	756	0
P04733	P06929	637	756	0
P04733	P24835	681	756	1
O92835	P04792	2047	2047	16
P03120	P04792	2047	1337	1
P04792	P06422	1554	2047	1
P04792	P06921	1535	2047	2
P04792	P36778	1178	2047	1
P04792	P36780	1546	2047	1
P04792	Q1HVI8	20	2047	0
P04843	Q6SVZ5	13	2047	0
P04844	Q6SVZ5	13	1648	0
P04899	P06428	632	2047	1
P05026	Q76R62	2047	2047	0
P05062	Q6J8G2	1498	2047	26
P05062	Q76R62	2047	2047	1
P05062	Q9WC28	1339	2047	16
P05067	P06428	632	2047	1
P05067	Q8JSN5	651	2047	0
O41949	P05106	2047	50	0
P05106	Q2KRY7	36	2047	0
P05109	P06929	637	1820	0
P05114	P10204	25	770	0
P05141	P06429	422	2047	0
P05155	P59633	2	2047	0
P05155	Q7TFA1	73	2047	0
P05155	Q9WC28	1340	2047	17
P05162	P19811	859	2047	0
H9XIJ5	P05165	2047	675	3
P05165	Q1HVI8	20	2047	1
P05166	Q1HVI8	20	2047	1
P03129	P05186	2047	324	0
P05204	P06429	422	1068	0
P05204	P06430	433	1068	0
P05204	P06788	244	1068	0
P05204	P36817	861	1558	0
P05204	P36827	248	1068	0
P05204	Q9QLP4	359	1068	0
P05386	P06429	422	2047	0
P05388	P06428	632	2047	1
P05388	P36801	642	2047	1
P05408	P06477	60	527	0
E7DBL9	P05412	2047	1056	796
P03072	P05412	2047	513	7
P03129	P05412	2047	324	0
P05412	P0C746	17	2047	0
P05412	P16913	2047	2047	1023
P05412	Q89268	651	2047	35
P05549	P06429	422	1723	0
P03087	P05556	2047	292	0
P05556	Q8JSN5	651	2047	0
D6REE5	P05777	90	2047	0
G9I284	P05783	2047	50	0
P05783	P06428	632	2047	1
O41952	P05787	2047	37	0
P05787	P06428	632	2047	1
P05787	P14079	61	2047	0
P05787	P36801	642	2047	1
P05981	Q69027	947	2047	2
P06028	P10204	346	486	321
P06239	Q1HVJ2	18	2047	0
P03077	P06241	2047	278	2
P04601	P06241	2047	2047	2
P06241	Q02840	2047	2047	2
P06241	Q81870	68	2047	0
P03433	P06396	2047	647	0
P06396	P14079	106	2047	0
P06396	Q1I2B2	648	2047	0
P06396	Q3SBS4	205	2047	0
P06396	Q6DP93	214	2047	0
P06396	Q8JSN5	651	2047	0
J9Z5B4	P06400	2047	183	0
P03129	P06400	2047	758	0
P03255	P06400	2047	251	0
P06400	P06429	422	2047	0
P06400	P06464	338	2047	0
P06400	P06465	947	2047	0
P06400	P06788	244	2047	0
P06400	P17387	372	2047	0
P06400	Q1HVI8	20	2047	1
P06400	Q80908	459	2047	0
P06422	Q6NXQ0	2047	1554	1
A0A0C4DGQ5	P06423	1498	2047	2
B3KY94	P06423	1498	1682	2
J3QK89	P06423	1498	2047	2
A0A590UJL1	P06427	654	2047	1
A0A6Q8PGG9	P06427	654	2047	1
B3KY94	P06427	654	1682	1
P06427	Q8TAS2	7	653	0
P06427	Q9H396	17	653	0
A0A087WX97	P06428	631	501	0
A0A087WYT3	P06428	632	2047	1
A0A0A0MTL6	P06428	631	2047	0
A0A0B4J1S8	P06428	632	2047	1
A0A2R8YFB8	P06428	632	2047	1
A0A494C0Z5	P06428	632	2047	1
A0A6I8PTZ2	P06428	632	1560	1
B0QY89	P06428	632	1760	1
B4DR61	P06428	632	2047	1
D6REE5	P06428	632	2047	1
E7EQR8	P06428	631	397	0
E9PDI4	P06428	631	901	0
F5H2X7	P06428	631	1741	0
F5H5D3	P06428	632	2047	1
F8W8H5	P06428	632	2047	1
F8WB74	P06428	-1	-1	-1
H0Y449	P06428	1093	2047	1
H0Y5K5	P06428	632	2047	1
H3BLT9	P06428	631	2047	0
H7C2N1	P06428	631	733	0
I3L3P4	P06428	631	19	0
I3L4C2	P06428	632	2047	1
K7EIK7	P06428	632	2047	1
K7EM18	P06428	631	2047	0
K7ER00	P06428	633	2047	2
K7ERV3	P06428	631	2047	0
M0QYS1	P06428	632	2047	1
M0R0R2	P06428	631	2047	0
P06428	Q5VV89	2047	631	0
P06428	X6R8A1	2047	632	1
P06428	X6R8F3	1247	631	0
A0A087WUS5	P06429	422	2047	0
A0A1B0GTW1	P06429	422	2047	0
A0A6I8PU73	P06429	422	2047	0
A6NHB5	P06429	422	2047	0
E9PF18	P06429	422	2047	0
H0YBX6	P06429	422	2047	0
J3KQ48	P06429	422	2047	0
A0A087WUS5	P06430	433	2047	0
A0A087WUZ3	P06430	433	2047	0
A0A0C4DGQ5	P06430	433	2047	0
B7Z4C8	P06430	433	2047	0
E9PF18	P06430	433	2047	0
E9PI68	P06430	433	1184	0
F8WB74	P06430	-1	-1	-1
P06454	P0DOE7	33	1054	0
P06454	Q69140	390	1072	28
A0A590UJD9	P06462	635	2047	1
A0A0U1RQC9	P06463	682	1631	3
A0A3B3ISF0	P06463	682	2047	3
A0A590UJD9	P06463	682	2047	3
A0A669KB89	P06463	682	2047	3
B1AHL2	P06463	681	2047	2
E7EUS2	P06463	681	236	2
H3BLV9	P06463	682	2047	3
I3L0L0	P06463	682	2047	3
M0QXF9	P06463	683	2047	4
A0A0C4DGG9	P06465	518	2047	0
A0A0C4DGQ5	P06465	518	2047	0
E9PF18	P06465	518	2047	0
H0Y6T8	P06465	518	2047	0
P06465	Q5T5C7	2047	518	0
P03129	P06493	2047	324	0
P03261	P06493	2047	506	1
P04608	P06493	2047	2047	0
P06493	P12978	305	2047	21
P06493	Q1HVI8	21	2047	2
P06429	P06576	2047	422	0
P06430	P06576	2047	433	0
A0A097PIH4	P06702	2047	2047	0
O09234	P06702	2047	2047	0
P06702	P27915	2047	2047	0
P06702	Q58HT7	2047	2047	0
F5CGQ0	P06733	2047	185	1
P03126	P06733	2047	676	3
P06422	P06733	2047	1556	3
P06427	P06733	2047	1117	2
P06428	P06733	2047	1094	2
P06429	P06733	2047	422	0
P06463	P06733	2047	1140	4
P06733	P06788	244	2047	0
P06733	P06921	1537	2047	4
P06733	P06929	1101	2047	2
P06733	P06930	624	2047	2
P06733	P14335	2047	2047	23
P06733	P24835	683	2047	3
P06733	P36778	1179	2047	2
P06733	P36780	1548	2047	3
P06733	P36791	1166	2047	2
P06733	P36799	652	2047	3
P06733	P36827	248	2047	0
P06733	Q0A2H0	184	2047	1
P06733	Q0A2H1	79	2047	1
P06733	Q20P38	67	2047	0
P06733	Q2PJP0	186	2047	1
P06733	Q2PJP1	71	2047	1
P06733	Q3SBS4	185	2047	1
P06733	Q3SBS5	83	2047	1
P06733	Q6DP94	67	2047	1
P06733	Q6DPA0	67	2047	1
P06733	Q6VE52	184	2047	1
P06733	Q88489	2047	2047	25
P06733	Q9E7P0	2047	2047	22
P06733	R9WKI0	81	2047	1
A0A0C7TBS6	P06746	2047	20	0
A0A669KB53	P06747	99	2047	0
P04608	P06748	2047	2047	0
P04618	P06748	2000	2047	0
P06428	P06748	2000	631	0
P06748	P0C6L3	572	2000	0
P06748	P23372	31	2000	0
P06748	P24938	103	2000	0
P06748	P68951	82	2000	0
P06748	Q1K9H2	232	2000	0
P06748	Q77Q36	2047	2047	1023
A0A087WUZ3	P06788	244	2047	0
A0A0C4DGQ5	P06788	244	2047	0
A0A3B3IUB5	P06788	244	2047	0
A0A6Q8PH20	P06788	244	1142	0
A6NHB5	P06788	244	2047	0
B7Z4C8	P06788	244	2047	0
E9PD50	P06788	244	2047	0
E9PF18	P06788	244	2047	0
F8WB74	P06788	-1	-1	-1
H3BST1	P06788	244	528	0
J3QQ67	P06788	244	2047	0
P06788	Q6ICM0	267	499	255
A0A087WX97	P06921	1533	501	0
A0A0D9SGF6	P06921	1535	2047	2
D6RFX5	P06921	1533	729	0
P06921	Q6IBJ0	1232	1533	0
P06921	Q6NXQ0	2047	1535	2
H0Y8C6	P06927	93	2047	0
A0A0A0MRJ6	P06929	638	2047	1
A0A0C4DGQ5	P06929	638	2047	1
A0A590UJL1	P06929	638	2047	1
B3KS98	P06929	1100	2047	1
C9JUH5	P06929	637	479	0
C9JYJ0	P06929	638	2047	1
H0YFD6	P06929	638	2047	1
I3L0L0	P06929	638	2047	1
A0A0A0MT64	P06930	623	2047	1
A0A0B4J1S8	P06930	623	2047	1
A6NFX8	P06930	623	2047	1
A8MYR2	P06930	622	2047	0
A8MYV6	P06930	1086	2047	1
C9JIZ6	P06930	-1	-1	-1
E9PFW3	P06930	623	2047	1
E9PRY8	P06930	623	2047	1
F8VNR3	P06930	622	2047	0
H0Y8C3	P06930	623	2047	1
H0YFD6	P06930	623	2047	1
K7EQ78	P06930	622	2047	0
P06930	Q32Q12	2047	624	2
P06930	X6R8F3	1247	622	0
A0A0U1RQC9	P06931	120	1629	1
A0A1B0GTU4	P06931	120	2047	1
A0A590UJD9	P06931	120	2047	1
B1AHL2	P06931	119	2047	0
A0A2U3U043	P06932	455	2047	0
B7Z4C8	P06932	455	2047	0
E7EWN3	P06932	455	2047	0
E9PI68	P06932	455	1184	0
F8WB74	P06932	-1	-1	-1
H3BSS6	P06932	455	2047	0
P07195	Q1HVI8	20	2047	1
P03227	P07196	2047	226	1
P04020	P07196	2047	324	0
P06430	P07196	2047	433	0
P07196	P0C6Z9	32	2047	0
P07196	Q1HVB8	151	2047	1
P07196	Q1HVD1	104	2047	2
P06788	P07199	2047	244	0
P06929	P07203	2047	639	2
P07203	P24835	683	2047	3
P06788	P07237	2047	244	0
P07237	P24835	682	2047	2
P03113	P07305	2047	2047	10
P07307	P10227	29	2047	0
P07307	Q69028	2047	2047	88
P07307	Q9WC28	1339	2047	6
P06927	P07333	2047	93	0
P06427	P07339	2047	654	1
P06428	P07339	2047	632	1
P06429	P07339	2047	422	0
P06929	P07339	2047	638	1
P07339	P10191	48	2047	0
P07339	Q9WC28	1338	2047	15
P04305	P07355	2047	243	11
P04591	P07355	2047	2047	1
P06428	P07355	2047	632	1
P06930	P07355	2047	623	1
P07355	P24835	682	2047	2
P07357	Q9WC28	1338	2047	12
P07437	Q1HVI8	20	2047	1
P07437	Q6J8G2	1502	2047	31
P07437	Q9WC28	1340	2047	17
B0QYN7	P07567	2047	2047	803
P07602	Q6J8G2	1502	2047	31
P07602	Q8JSN8	871	2047	0
P07602	Q9WC28	1340	2047	16
P07858	P24830	1325	2047	1
O92835	P07900	2047	2047	27
P03428	P07900	2047	674	2
P03431	P07900	2047	869	0
P07900	P12977	45	2047	0
P07900	P88980	55	2047	0
P03129	P07910	2047	324	0
P07910	P88983	2	2047	0
A6YJF2	P07942	2047	78	0
P03188	P07942	2047	398	0
P07942	P0C763	397	2047	0
P07942	Q0A2H1	78	2047	0
P07942	Q20MH4	79	2047	0
P07942	Q20P38	67	2047	0
P07942	Q2PJP1	70	2047	0
P07942	Q6DP94	66	2047	0
P07942	R9WKI0	80	2047	0
P07948	Q1HVJ2	18	2047	0
P07949	P29996	574	2047	0
P04608	P07996	2047	2047	0
P06429	P07996	2047	422	0
P06465	P07996	2047	518	0
P07996	Q9QLP4	359	2047	0
A0A288CFT1	P08047	2047	1618	0
P04608	P08047	2047	2047	0
P08047	P14079	61	2047	0
P08047	P18098	2047	2047	0
P08047	Q6QCP6	53	2047	0
P08047	Q89268	646	2047	18
P08133	P14079	61	2047	0
P08195	P29996	574	2047	0
P08237	P10233	59	2047	0
O09234	P08238	2047	2047	27
O92835	P08238	2047	2047	27
P03428	P08238	2047	674	2
P08238	P14335	2047	2047	28
P03129	P08246	2047	324	0
A0A669KBF4	P08393	683	2047	94
A0A669KBL1	P08393	785	2047	461
E9PRY8	P08393	766	2047	392
A0A1W2PR46	P08411	920	2047	11
P06477	P08567	2047	60	0
P06788	P08571	667	244	0
P08571	P36817	436	667	0
P08571	Q8JSN5	701	2047	0
P08572	P24835	682	2047	2
B6DUB2	P08575	2047	49	0
B9A5V9	P08575	2047	57	0
B9A6D9	P08575	2047	58	0
C4P226	P08575	2047	54	0
E9P568	P08575	2047	61	0
M0QTU7	P08575	2047	65	0
M0QUD6	P08575	2047	79	0
M0QUH6	P08575	2047	58	0
M0QUZ1	P08575	2047	55	0
M0QVB0	P08575	2047	50	0
M0QVI9	P08575	2047	58	0
M0QVV7	P08575	2047	70	3
P08575	Q91CB6	59	2047	1
P03129	P08579	2047	324	0
P06429	P08579	2047	422	0
P08579	Q1HVI8	20	2047	1
P04601	P08631	2047	2047	2
P08631	P69722	2047	2047	0
P08631	Q02840	2047	2047	2
P08631	Q81870	68	2047	0
P03129	P08670	2047	324	0
P03188	P08670	2047	398	0
P03317	P08670	2047	2047	261
P06463	P08670	2047	682	3
P08411	P08670	2047	920	11
P08670	P0C763	397	2047	0
P08670	Q1H8W6	2047	2047	20
P08670	Q88489	2047	2047	18
B3KS98	P08671	31	2047	0
P08708	P10204	51	2047	0
P08708	P59636	10	2047	0
P08708	Q1HVI8	49	2047	1
P06929	P08727	2047	1100	1
P08727	P14335	2047	2047	16
P06428	P08729	2047	632	1
P06788	P08779	2047	691	0
A6YJF2	P08865	2047	79	1
P08865	Q0A2H1	79	2047	1
P08865	Q20MH4	80	2047	1
P08865	Q2PJP1	71	2047	1
P08865	R9WKI0	81	2047	1
P08949	P29996	574	364	0
P06428	P08962	2047	632	1
P06463	P08962	2047	682	3
P06428	P09012	2047	632	1
P09012	Q1HVI8	20	2047	1
P09086	Q81983	0	2047	0
P03129	P09132	1910	324	0
P06428	P09382	2047	632	1
P09382	Q76R62	2047	2047	1
P06428	P09429	2047	632	1
P09429	P0C799	38	2047	0
P03211	P09455	2047	404	6
P09455	Q69022	40	2047	0
P04601	P09471	2047	2047	0
P09496	P36780	1546	1601	1
P03087	P09619	2047	292	0
P06927	P09619	2047	93	0
P09619	P0CK45	6	2047	0
P09619	P29996	574	2047	0
D2E1L9	P09630	2047	2047	519
P03416	P09651	2047	609	0
P09651	P19893	51	2047	0
P09651	P36827	248	2047	0
P09651	P59595	791	2047	0
P09651	Q1HVI8	20	2047	1
P09668	P24835	682	2047	2
A0A097PIH4	P09693	774	2047	0
O09234	P09693	774	2047	0
P09693	P27915	2047	774	0
P09693	Q58HT7	2047	774	0
P09758	P36801	641	1924	0
P09769	Q8JSN8	871	2047	0
P04608	P09874	2047	2047	0
P09874	P88996	29	2047	0
P09874	Q89268	652	2047	35
P09912	P29996	574	1395	0
P09914	P10191	48	2047	0
P04608	P09958	2047	2047	0
P06930	P09958	2047	623	1
P0C0L4	Q6J8G2	1497	2047	27
P0C0L4	Q9WC28	1338	2047	15
P0C0L5	P88986	25	2047	0
F6SYF8	P0C569	100	999	0
A0A3B3IT31	P0C6L3	572	1336	0
A0A0A0MS08	P0C6Z8	53	2047	0
A0A087WW40	P0C723	27	2047	0
G3XA98	P0C723	27	2047	0
P03428	P0C7W6	406	672	0
P03508	P0C7W6	432	105	26
P0C7W6	P10217	105	457	51
P0C7W6	Q20MC6	679	406	0
P0C7W6	Q20MD1	105	435	29
P0CAP1	Q8JSN5	651	1008	0
P03129	P35250	2047	324	0
P06463	P35250	2047	683	4
P06929	P35250	2047	639	2
P24835	P35250	2047	683	3
P35268	Q1HVI8	49	2047	1
P04608	P35269	1074	2047	0
P10204	P35372	2047	25	0
P29996	P35414	2047	574	0
P06788	P35520	2047	244	0
P06821	P35520	2047	186	0
O56232	P35548	2047	14	0
P35548	P51519	919	2047	540
P35579	Q88489	2047	2047	18
P35579	Q91NH1	2047	2047	16
O41941	P35580	2047	48	0
P35606	P36801	642	2047	1
P35606	P88988	32	2047	0
P03129	P35637	2047	324	0
P03431	P35637	2047	869	0
P35637	Q6J8G2	1495	2047	17
P35637	Q9WC28	1337	2047	13
E7DBL9	P35638	561	897	454
P04608	P35638	272	2047	0
A6YJF2	P35658	2047	78	0
P04618	P35658	2047	2047	0
P0C206	P35658	2047	30	0
P35658	Q0A2H1	78	2047	0
P35658	Q1I2B2	648	2047	0
P35658	Q20P38	67	2047	0
P35658	Q2PJP1	70	2047	0
P35658	Q3SBS5	82	2047	0
P35658	Q6DP94	66	2047	0
P35658	Q6DPA0	66	2047	0
P35658	R9WKI0	80	2047	0
P03410	P35711	2047	48	0
O41957	P35749	2047	136	0
P12977	P35869	2047	73	0
P35869	Q69138	68	2047	0
P06477	P35914	2047	162	0
P35968	Q6TVI8	1735	2047	1023
P04608	P35998	2047	2047	0
P35998	P36801	1107	2047	1
P35998	Q1HVI8	20	2047	1
A0A494C045	P36313	511	2047	262
P10204	P36382	2047	25	0
P36404	P36810	619	2047	1
P03126	P36507	2047	675	2
P06929	P36507	2047	638	1
P24835	P36507	2047	682	2
P36543	P36801	642	2047	1
P06428	P36578	2047	632	1
P12977	P36578	2047	45	0
P36578	Q69138	44	2047	0
A0A0D9SGF6	P36778	1178	2047	1
G3V483	P36778	1178	2047	1
A0A087WX97	P36780	1545	501	0
P36780	Q6IBJ0	1232	1545	0
P36780	Q6NXQ0	2047	1546	1
A0A087X1E4	P36791	1165	1414	1
I3L0L0	P36791	1165	2047	1
A0A590UJL1	P36799	651	2047	2
P36799	Q8TAS2	7	649	0
P36799	Q9H396	17	649	0
A0A2R8Y5Y7	P36801	642	2047	1
A0A2R8YFH6	P36801	642	2047	1
A0A494C1N0	P36801	642	2047	1
A0A590UJL1	P36801	642	2047	1
B4DR61	P36801	642	2047	1
E7EMB3	P36801	642	2047	1
E9PM49	P36801	642	2047	1
F8WDY8	P36801	641	58	0
H0YKD8	P36801	642	1876	1
M0QYS1	P36801	642	2047	1
M0R0R2	P36801	641	2047	0
P36810	Q9H396	17	618	0
A0A087X2G6	P36817	-1	-1	-1
A0A3B3ISF0	P36817	436	2047	0
A0A6I8PU73	P36817	436	2047	0
B0QY89	P36817	436	1759	0
B7Z4C8	P36817	436	2047	0
C9JFX4	P36817	436	2047	0
E7EWN3	P36817	436	2047	0
E9PF18	P36817	436	2047	0
F8WB74	P36817	-1	-1	-1
H3BVG0	P36817	436	2047	0
A0A087WUS5	P36827	248	2047	0
A0A087WUZ3	P36827	248	2047	0
A0A1W2PPJ5	P36827	248	2047	0
A0A3B3IUA2	P36827	248	2047	0
A0A3B3IUB5	P36827	248	2047	0
B4DR61	P36827	248	2047	0
B7Z4C8	P36827	248	2047	0
E9PF18	P36827	248	2047	0
I3L0L0	P36827	248	2047	0
J3KQ48	P36827	248	2047	0
P03087	P36941	2047	292	0
P36941	P88995	29	2047	0
P06428	P36952	2047	632	1
P36799	P36952	2047	651	2
P36801	P36952	2047	642	1
P06477	P36955	2047	60	1
P36955	Q76R62	2047	2047	1
P36956	P88995	29	2047	0
P36956	Q69028	2047	2047	113
P03129	P37108	2047	758	0
P36801	P37108	1274	642	1
P37108	Q9QLP4	359	1274	0
P03410	P37198	2047	48	0
P0C206	P37198	2047	30	0
P37198	Q85601	41	2047	0
P03129	P37837	2047	324	0
P36801	P37837	2047	643	2
P36817	P37837	2047	436	0
P38159	Q1HVH2	50	2047	0
P03126	P38398	2047	675	2
P03129	P38398	2047	324	0
P38432	Q1HVH2	50	798	0
P38646	Q9QLP4	359	2047	0
P38919	Q20MH3	184	2047	1
P03129	P38936	1125	324	0
P06428	P38936	1125	631	0
P06464	P38936	1125	338	0
P03186	P39023	2047	249	12
P06428	P39023	2047	632	1
P06429	P39023	2047	422	0
P06430	P39023	2047	433	0
P39023	Q1HVH9	466	2047	42
P06930	P39060	2047	623	1
P0C723	P40123	2047	27	0
P40189	Q2HRC7	291	2047	234
P29996	P40198	2047	574	0
P06428	P40305	1812	631	0
P04608	P40306	2047	2047	0
P06429	P40306	2047	422	0
P36801	P40313	2047	642	1
F5CGQ0	P40429	2047	184	0
P10204	P40616	2047	51	0
P03466	P40692	2047	293	0
P40692	Q20MD2	234	2047	0
P40763	Q9QR71	2047	2047	1023
P06428	P40937	2047	633	2
P40938	Q1HVI8	49	2047	1
P06929	P41134	767	637	0
P14079	P41182	2047	61	0
P41182	Q2KRY7	36	2047	0
P41218	Q9QR71	2047	783	88
P03129	P41219	2047	324	0
F5HAM0	P41227	2047	2047	640
O41949	P41235	2047	50	0
P04288	P41240	2047	60	0
P03129	P41247	2047	324	0
P06788	P41247	2047	244	0
P36817	P41247	2047	436	0
P41567	Q8JSN5	651	2047	0
P41567	Q8JSN6	672	2047	0
P41732	Q6J8G2	1502	2047	31
P41732	Q9WC28	1340	2047	16
P04601	P42081	1410	2047	0
P42224	Q8JSN8	871	2047	0
P42331	Q88489	2047	2047	18
P0DOE7	P42338	2047	29	0
P07385	P42574	2047	2047	1023
A0A097PIH4	P42677	2047	2047	10
O09234	P42677	2047	2047	10
P27915	P42677	2047	2047	11
P42677	Q58HT7	2047	2047	10
P06930	P42704	2047	623	1
P42704	Q1HVI8	20	2047	1
P42766	Q20MH3	183	2047	0
P42771	Q8AZK7	24	2047	0
P36799	P42772	2047	651	2
P03087	P42785	2047	292	0
P06788	P43003	2047	244	0
P29996	P43115	2047	574	0
P29996	P43121	2047	574	0
P03129	P43243	2047	324	0
P43243	Q91NH1	2047	2047	9
P14079	P43268	2047	61	0
P10219	P43355	2047	23	0
P43355	Q1HVI8	20	2047	1
P03428	P43356	2047	672	0
P03466	P43356	2047	233	0
P43356	Q20MC6	679	2047	0
P03466	P43360	2047	233	0
P03508	P43360	2047	79	0
P08543	P43360	2047	2047	738
P43360	Q20MD1	76	2047	0
P03428	P43364	2047	672	0
P03431	P43364	2047	869	0
P03466	P43364	2047	233	0
P03508	P43364	2047	79	0
P43364	Q20MC6	679	2047	0
P43364	Q20MD1	76	2047	0
P43365	Q20MD0	183	2047	0
P43403	Q1HVJ2	18	2047	0
P43405	Q1HVJ2	18	2047	0
P29996	P43628	2047	574	0
P29996	P43629	2047	574	0
P03087	P43681	2047	292	0
P04608	P43686	2047	2047	0
P45378	Q1HVI8	20	2047	0
P04591	P45877	2047	2047	1
P45877	Q02843	2047	2047	1
P03428	P45984	2047	672	0
P03496	P45984	2047	184	0
P03508	P45984	2047	79	0
P45984	Q0A2H0	183	2047	0
P45984	Q20MD0	183	2047	0
P45984	Q2PJP0	185	2047	0
P45984	Q6DP93	188	2047	0
P45984	Q6QT26	188	2047	0
P45984	Q6VE52	183	2047	0
P03087	P46093	2047	292	0
P29996	P46108	2047	574	0
P46108	Q0A2H0	183	2047	0
P46108	Q20NX5	179	2047	0
P46108	Q6VE52	183	2047	0
P46108	Q99AU3	182	2047	0
P46109	Q20NX5	179	2047	0
P46109	Q99AU3	182	2047	0
P0CK48	P46379	2047	64	1
P46379	P88980	55	2047	0
P46379	Q7TFA0	14	2047	0
P46531	Q1HVB8	151	2047	2
P04020	P46734	2047	324	0
P36801	P46776	2047	642	1
P46776	P68466	9	2047	0
A0A097PIH4	P46777	2047	2047	14
O09234	P46777	2047	2047	13
O41964	P46777	2047	33	0
P06428	P46777	2047	632	1
P46777	Q9QLP4	359	2047	0
P06428	P46778	2047	632	1
P46778	Q805H7	37	2047	0
P06477	P46779	2047	60	0
P06428	P46781	2047	1093	1
P46781	Q1HVI8	49	2047	1
P46781	Q1K9H5	871	2047	0
P46821	Q6J8G2	1495	2047	17
P46821	Q9WC28	1337	2047	10
A0A2H4PJV3	P46934	2047	21	0
P08363	P46934	2047	123	0
P14076	P46934	2047	2047	1023
P46934	P69722	2047	2047	0
P46934	Q1HVJ2	18	2047	0
P46934	Q77DJ6	86	2047	0
P26669	P46939	2047	322	189
P46939	P89653	7	2047	2
P03129	P46940	2047	324	0
H9XIJ5	P47712	2047	672	0
P03129	P47869	2047	324	0
P06429	P47869	2047	422	0
P06430	P47869	2047	433	0
P06465	P47869	2047	518	0
P06788	P47869	2047	244	0
P06932	P47869	2047	455	0
P36817	P47869	2047	436	0
P36827	P47869	2047	248	0
P47869	Q9QLP4	359	2047	0
P06428	P47895	2047	632	1
P06428	P47897	2047	632	1
P47897	Q8JSN8	871	2047	0
P47914	Q6J8G2	1495	2007	12
P47914	Q8JSN8	871	2003	0
P47914	Q9WC28	1338	2005	8
A0A220NMU2	P48029	2047	1410	3
P03087	P48060	2047	292	0
L0N4F0	P48201	2047	10	0
P03087	P48201	2047	292	0
P48230	Q69027	947	1994	1
P48230	Q6J8G2	1493	1994	0
P48230	Q9WC28	1337	1994	0
P10191	P48454	2047	48	0
P29996	P48509	2047	574	0
H9XIJ5	P48556	1800	672	0
P12977	P48643	2047	45	0
P48643	Q69138	44	2047	0
P24835	P48645	556	681	1
P0DOE7	P48736	2047	29	0
P17367	P48788	2047	276	135
O41949	P48960	2047	50	0
P06428	P48960	2047	631	0
P49006	Q9WC28	1337	488	0
F5HDA4	P49069	508	246	243
P0DSV8	P49069	939	2047	851
P49069	Q7TFA1	245	438	172
P49321	P88993	28	2047	0
P06428	P49327	2047	632	1
P49336	P68336	52	2047	2
P49336	Q88939	7	2047	0
P04020	P49368	2047	324	0
P07567	P49368	2047	2047	1023
P10204	P49458	720	25	0
P03129	P49459	2047	324	0
P06930	P49459	2047	623	1
P06428	P49643	2047	632	1
P24835	P49662	2047	682	2
P03120	P49715	1423	1337	1
P04608	P49721	2047	2047	0
P06429	P49721	2047	422	0
P03433	P49736	2047	647	0
P06428	P49750	2047	632	1
P03087	P49755	2047	292	0
P06788	P49755	2047	244	0
P06930	P49755	2047	623	1
P03186	P49759	2047	251	16
P49759	Q1HVH9	475	2047	56
P03129	P49760	2047	324	0
P04020	P49760	2047	324	0
P06477	P49763	1955	60	0
P06428	P49765	2047	631	0
P36801	P49768	2047	642	1
P03116	P49792	2047	1142	10
P17367	P49792	2047	288	193
P03126	P49815	2047	675	2
P36810	P49815	2047	619	1
P49848	Q1K9H5	871	2047	0
P27949	P49901	430	2047	171
P03204	P49908	953	792	64
P0C723	P49908	933	27	0
P49908	Q8JSN8	871	933	0
P03070	P50222	2047	533	29
P03428	P50222	2047	672	0
P03431	P50222	2047	869	0
P03433	P50222	2047	647	0
P03468	P50222	2047	767	0
P03485	P50222	2047	91	0
P06430	P50222	2047	433	0
P06821	P50222	2047	186	0
P50222	Q20MD4	92	2047	0
P03129	P50395	2047	324	0
P10218	P50402	782	50	0
O92835	P50454	2047	2047	46
P03129	P50479	2047	324	0
P06430	P50479	2047	433	0
P06788	P50479	2047	691	0
P06932	P50479	2047	888	0
P36817	P50479	2047	436	0
P50479	Q9QLP4	359	2047	0
P50542	Q1HVG1	13	2047	0
P17367	P50552	2047	290	158
P03433	P50570	2047	695	0
P50570	Q8JSN8	871	2047	0
P50570	Q91NH1	2047	2047	36
P50583	P59635	459	2047	0
P04608	P50613	2047	2047	0
P06422	P50616	2047	1554	1
P06921	P50616	2047	1535	2
P06930	P50616	2047	623	1
P36780	P50616	2047	1546	1
P36791	P50616	2047	1165	1
P50749	Q8JSN5	651	2047	0
P04608	P50750	2047	2047	0
P18098	P50750	2047	2047	0
P03129	P50990	2047	324	0
P03129	P50991	2047	324	0
P06788	P50991	2047	244	0
P36810	P50995	2047	619	1
P36817	P50995	2047	436	0
P03410	P51116	2047	48	0
P03428	P51116	2047	672	0
P03431	P51116	2047	869	0
P03466	P51116	2047	233	0
P03496	P51116	2047	184	0
P03508	P51116	2047	79	0
P51116	Q20MC8	871	2047	0
P06422	P51523	2047	1553	0
P06921	P51523	2047	1533	0
P36780	P51523	2047	1545	0
P04608	P51531	2047	2047	0
P06428	P51553	2047	632	1
P06428	P51572	1778	631	0
P06927	P51572	1778	93	0
P17385	P51572	1778	91	0
P0DOE7	P51636	1330	29	0
O41946	P51665	2047	17	0
P51681	Q76R61	1405	2047	1
A0A288CFT1	P51692	2047	1618	0
P51693	Q9WC28	1337	2047	11
P03129	P51784	2047	324	0
P10219	P51808	1558	23	0
